symptom1,symptom2,symptom3,disease_name,chronic_or_temporary,contagious
redness,cracking,burning,Acne,chronic,false
rash,flaking,tenderness,Psoriasis,temporary,false
rash,flaking,pain,Dermatitis,chronic,true
swelling,cracking,tenderness,Psoriasis,chronic,true
swelling,cracking,burning,Psoriasis,chronic,false
itching,scaling,pain,Dermatitis,temporary,false
redness,scaling,burning,Rosacea,chronic,true
swelling,cracking,soreness,Acne,temporary,true
rash,flaking,soreness,Dermatitis,chronic,true
rash,scaling,burning,Psoriasis,chronic,false
swelling,flaking,burning,Acne,temporary,true
redness,flaking,soreness,Acne,chronic,true
rash,flaking,burning,Eczema,chronic,false
redness,cracking,tenderness,Rosacea,temporary,false
swelling,flaking,tenderness,Eczema,chronic,false
rash,cracking,burning,Rosacea,chronic,true
rash,cracking,tenderness,Psoriasis,temporary,true
swelling,flaking,burning,Eczema,chronic,true
blistering,scaling,pain,Eczema,chronic,true
blistering,flaking,tenderness,Psoriasis,chronic,true
itching,flaking,pain,Dermatitis,temporary,true
redness,dryness,pain,Acne,chronic,true
redness,flaking,soreness,Psoriasis,chronic,false
blistering,cracking,pain,Rosacea,chronic,true
redness,flaking,pain,Eczema,temporary,false
swelling,cracking,soreness,Eczema,temporary,true
rash,flaking,burning,Acne,chronic,true
rash,cracking,tenderness,Eczema,chronic,false
itching,scaling,tenderness,Eczema,temporary,false
itching,cracking,pain,Dermatitis,chronic,true
swelling,cracking,burning,Acne,chronic,false
redness,flaking,burning,Psoriasis,chronic,true
rash,flaking,burning,Eczema,temporary,true
blistering,scaling,soreness,Dermatitis,temporary,false
rash,cracking,soreness,Dermatitis,chronic,false
swelling,dryness,tenderness,Psoriasis,temporary,false
blistering,dryness,soreness,Dermatitis,temporary,false
blistering,cracking,tenderness,Acne,chronic,true
redness,flaking,pain,Psoriasis,chronic,false
rash,flaking,pain,Dermatitis,chronic,true
redness,cracking,soreness,Psoriasis,temporary,false
rash,cracking,soreness,Dermatitis,temporary,true
rash,cracking,pain,Dermatitis,chronic,true
redness,flaking,tenderness,Psoriasis,chronic,false
redness,cracking,pain,Rosacea,temporary,false
blistering,flaking,soreness,Eczema,temporary,false
redness,scaling,pain,Dermatitis,temporary,true
rash,cracking,pain,Acne,chronic,false
swelling,cracking,soreness,Psoriasis,chronic,false
swelling,flaking,tenderness,Dermatitis,temporary,false
blistering,cracking,soreness,Rosacea,temporary,true
itching,cracking,burning,Psoriasis,temporary,true
redness,dryness,pain,Acne,temporary,true
swelling,dryness,soreness,Psoriasis,temporary,false
rash,dryness,tenderness,Acne,chronic,true
blistering,scaling,burning,Rosacea,chronic,false
rash,flaking,burning,Psoriasis,temporary,false
swelling,flaking,pain,Acne,chronic,true
redness,scaling,pain,Eczema,temporary,true
blistering,cracking,burning,Eczema,temporary,true
blistering,flaking,pain,Eczema,chronic,false
swelling,scaling,tenderness,Eczema,chronic,true
rash,flaking,tenderness,Rosacea,temporary,true
redness,scaling,pain,Psoriasis,chronic,false
swelling,dryness,tenderness,Dermatitis,chronic,false
redness,cracking,pain,Dermatitis,temporary,true
swelling,scaling,soreness,Dermatitis,chronic,true
blistering,scaling,soreness,Dermatitis,chronic,false
redness,flaking,pain,Psoriasis,temporary,false
swelling,scaling,burning,Dermatitis,temporary,false
rash,dryness,pain,Psoriasis,temporary,true
blistering,flaking,pain,Rosacea,chronic,true
itching,dryness,pain,Acne,temporary,true
redness,cracking,soreness,Psoriasis,chronic,true
redness,scaling,soreness,Dermatitis,temporary,true
swelling,scaling,pain,Acne,chronic,false
redness,cracking,tenderness,Psoriasis,chronic,false
redness,cracking,tenderness,Rosacea,chronic,true
blistering,scaling,burning,Rosacea,temporary,false
blistering,flaking,soreness,Dermatitis,chronic,false
rash,flaking,burning,Psoriasis,chronic,false
swelling,dryness,tenderness,Psoriasis,temporary,true
rash,scaling,pain,Dermatitis,temporary,false
itching,scaling,burning,Psoriasis,chronic,true
itching,cracking,pain,Rosacea,temporary,false
rash,flaking,soreness,Eczema,chronic,true
swelling,flaking,burning,Acne,chronic,true
blistering,flaking,burning,Acne,temporary,true
redness,flaking,soreness,Dermatitis,temporary,false
rash,cracking,burning,Rosacea,temporary,true
rash,cracking,tenderness,Eczema,temporary,true
blistering,cracking,pain,Dermatitis,temporary,true
itching,flaking,tenderness,Acne,temporary,false
rash,cracking,soreness,Psoriasis,temporary,true
rash,scaling,tenderness,Psoriasis,chronic,true
redness,cracking,soreness,Eczema,temporary,true
redness,flaking,pain,Dermatitis,chronic,true
blistering,cracking,burning,Eczema,temporary,true
itching,scaling,burning,Acne,chronic,true
itching,scaling,tenderness,Acne,chronic,false
itching,flaking,tenderness,Rosacea,temporary,true
itching,flaking,pain,Dermatitis,temporary,true
redness,flaking,tenderness,Acne,chronic,false
swelling,cracking,soreness,Psoriasis,temporary,false
rash,flaking,tenderness,Acne,temporary,true
itching,dryness,soreness,Eczema,chronic,true
rash,cracking,tenderness,Rosacea,chronic,false
blistering,cracking,tenderness,Psoriasis,chronic,false
swelling,cracking,pain,Dermatitis,temporary,false
swelling,flaking,soreness,Acne,temporary,true
blistering,dryness,pain,Dermatitis,temporary,false
redness,dryness,burning,Rosacea,temporary,false
itching,flaking,soreness,Dermatitis,temporary,false
blistering,flaking,pain,Acne,chronic,false
swelling,flaking,pain,Psoriasis,temporary,false
redness,flaking,soreness,Rosacea,temporary,true
rash,flaking,burning,Dermatitis,temporary,false
redness,scaling,pain,Acne,chronic,false
rash,scaling,pain,Psoriasis,chronic,false
rash,flaking,tenderness,Dermatitis,temporary,false
rash,scaling,burning,Rosacea,chronic,false
rash,scaling,soreness,Rosacea,temporary,false
blistering,flaking,soreness,Rosacea,chronic,false
rash,dryness,burning,Psoriasis,temporary,true
redness,cracking,soreness,Psoriasis,temporary,true
itching,scaling,burning,Dermatitis,chronic,true
swelling,cracking,soreness,Psoriasis,temporary,false
blistering,flaking,burning,Acne,chronic,true
blistering,dryness,tenderness,Acne,chronic,false
rash,scaling,tenderness,Eczema,temporary,false
itching,scaling,burning,Acne,chronic,false
rash,scaling,soreness,Psoriasis,chronic,true
redness,scaling,pain,Acne,temporary,false
redness,dryness,pain,Eczema,temporary,false
rash,flaking,tenderness,Acne,chronic,true
rash,cracking,tenderness,Psoriasis,temporary,true
itching,flaking,tenderness,Psoriasis,temporary,false
blistering,flaking,soreness,Dermatitis,temporary,false
rash,cracking,burning,Rosacea,temporary,true
itching,scaling,pain,Psoriasis,chronic,false
blistering,dryness,burning,Psoriasis,chronic,false
swelling,scaling,soreness,Dermatitis,temporary,false
swelling,scaling,pain,Rosacea,chronic,false
rash,scaling,pain,Psoriasis,temporary,true
rash,cracking,pain,Acne,chronic,false
blistering,flaking,burning,Eczema,chronic,true
rash,dryness,burning,Eczema,temporary,true
redness,scaling,pain,Acne,temporary,false
itching,scaling,pain,Psoriasis,chronic,true
swelling,dryness,soreness,Eczema,temporary,false
itching,dryness,burning,Dermatitis,temporary,false
rash,flaking,tenderness,Dermatitis,temporary,false
redness,scaling,pain,Rosacea,chronic,false
rash,flaking,tenderness,Rosacea,chronic,true
blistering,cracking,burning,Eczema,chronic,false
swelling,flaking,soreness,Psoriasis,temporary,true
itching,flaking,soreness,Dermatitis,chronic,true
rash,flaking,burning,Eczema,chronic,false
itching,dryness,tenderness,Rosacea,chronic,false
itching,scaling,soreness,Eczema,chronic,true
swelling,cracking,burning,Rosacea,chronic,false
rash,flaking,burning,Eczema,temporary,true
itching,dryness,tenderness,Dermatitis,temporary,true
swelling,scaling,soreness,Eczema,chronic,false
rash,flaking,soreness,Acne,temporary,true
redness,dryness,burning,Psoriasis,temporary,false
redness,flaking,burning,Acne,chronic,true
swelling,flaking,tenderness,Dermatitis,temporary,true
blistering,scaling,tenderness,Acne,temporary,true
redness,scaling,tenderness,Rosacea,chronic,false
redness,cracking,burning,Dermatitis,temporary,false
swelling,scaling,soreness,Rosacea,chronic,true
blistering,scaling,tenderness,Rosacea,chronic,false
swelling,flaking,burning,Dermatitis,temporary,false
rash,scaling,tenderness,Rosacea,temporary,false
rash,scaling,tenderness,Eczema,temporary,true
swelling,scaling,burning,Eczema,temporary,false
itching,dryness,soreness,Dermatitis,temporary,true
rash,flaking,soreness,Rosacea,chronic,true
swelling,flaking,pain,Rosacea,chronic,false
itching,cracking,soreness,Acne,chronic,true
rash,flaking,burning,Rosacea,chronic,false
swelling,flaking,pain,Rosacea,temporary,false
redness,cracking,pain,Rosacea,chronic,true
swelling,dryness,pain,Dermatitis,temporary,false
redness,dryness,burning,Acne,chronic,true
swelling,scaling,tenderness,Psoriasis,chronic,true
rash,dryness,burning,Acne,chronic,true
rash,cracking,tenderness,Eczema,chronic,false
blistering,scaling,tenderness,Psoriasis,temporary,true
itching,scaling,soreness,Rosacea,chronic,true
redness,scaling,soreness,Psoriasis,chronic,true
swelling,cracking,burning,Rosacea,temporary,false
itching,cracking,soreness,Rosacea,temporary,false
redness,dryness,burning,Psoriasis,chronic,false
swelling,cracking,burning,Rosacea,chronic,true
rash,dryness,tenderness,Psoriasis,chronic,true
blistering,dryness,tenderness,Psoriasis,temporary,false
redness,flaking,pain,Rosacea,temporary,false
itching,flaking,tenderness,Acne,temporary,false
blistering,cracking,burning,Rosacea,chronic,true
swelling,flaking,tenderness,Dermatitis,temporary,true
swelling,flaking,pain,Psoriasis,temporary,true
redness,cracking,burning,Psoriasis,temporary,true
redness,cracking,burning,Acne,temporary,false
itching,dryness,burning,Eczema,temporary,true
rash,dryness,burning,Acne,chronic,true
rash,flaking,pain,Dermatitis,chronic,true
swelling,cracking,tenderness,Eczema,chronic,true
rash,dryness,tenderness,Dermatitis,chronic,false
rash,dryness,pain,Psoriasis,temporary,false
blistering,flaking,tenderness,Eczema,temporary,true
itching,scaling,tenderness,Dermatitis,chronic,true
itching,dryness,soreness,Dermatitis,temporary,false
blistering,scaling,pain,Acne,temporary,true
redness,cracking,tenderness,Psoriasis,temporary,false
itching,cracking,soreness,Eczema,chronic,false
rash,scaling,soreness,Rosacea,temporary,false
blistering,cracking,tenderness,Eczema,temporary,true
rash,dryness,tenderness,Acne,chronic,true
blistering,flaking,burning,Psoriasis,chronic,false
redness,flaking,soreness,Psoriasis,chronic,true
itching,dryness,burning,Psoriasis,temporary,true
blistering,scaling,tenderness,Acne,chronic,false
itching,dryness,tenderness,Eczema,chronic,true
itching,dryness,tenderness,Psoriasis,temporary,true
rash,dryness,soreness,Rosacea,temporary,true
redness,cracking,soreness,Eczema,temporary,false
redness,scaling,pain,Acne,temporary,true
blistering,cracking,pain,Acne,temporary,true
redness,cracking,tenderness,Dermatitis,chronic,false
swelling,scaling,tenderness,Eczema,chronic,true
redness,dryness,soreness,Dermatitis,temporary,false
itching,scaling,pain,Acne,chronic,false
blistering,dryness,burning,Dermatitis,chronic,true
blistering,cracking,burning,Acne,temporary,false
itching,cracking,soreness,Psoriasis,temporary,false
redness,scaling,tenderness,Dermatitis,chronic,true
redness,cracking,pain,Eczema,chronic,true
itching,scaling,pain,Acne,temporary,true
swelling,scaling,tenderness,Psoriasis,temporary,true
blistering,dryness,burning,Eczema,chronic,true
swelling,flaking,tenderness,Rosacea,temporary,true
blistering,flaking,burning,Acne,temporary,false
rash,dryness,tenderness,Psoriasis,temporary,false
rash,dryness,soreness,Psoriasis,chronic,true
redness,flaking,pain,Acne,temporary,false
itching,scaling,burning,Eczema,temporary,false
rash,scaling,tenderness,Acne,chronic,false
redness,dryness,soreness,Acne,chronic,true
itching,flaking,burning,Dermatitis,chronic,true
blistering,dryness,tenderness,Eczema,temporary,true
rash,flaking,tenderness,Dermatitis,temporary,false
rash,flaking,tenderness,Eczema,temporary,false
swelling,cracking,pain,Rosacea,chronic,false
blistering,scaling,burning,Acne,chronic,false
blistering,scaling,soreness,Rosacea,chronic,false
itching,flaking,burning,Dermatitis,chronic,true
rash,cracking,tenderness,Rosacea,chronic,true
swelling,flaking,pain,Eczema,temporary,true
rash,flaking,pain,Rosacea,temporary,true
blistering,dryness,pain,Acne,chronic,false
swelling,scaling,tenderness,Psoriasis,chronic,true
itching,dryness,soreness,Dermatitis,chronic,true
rash,cracking,burning,Psoriasis,temporary,true
blistering,dryness,soreness,Dermatitis,chronic,false
rash,scaling,tenderness,Dermatitis,temporary,false
itching,cracking,pain,Eczema,chronic,true
redness,dryness,soreness,Eczema,temporary,false
blistering,flaking,soreness,Acne,temporary,false
redness,flaking,tenderness,Dermatitis,chronic,false
itching,scaling,tenderness,Eczema,chronic,false
swelling,scaling,pain,Rosacea,temporary,true
blistering,flaking,burning,Dermatitis,temporary,true
swelling,scaling,burning,Eczema,temporary,true
swelling,flaking,pain,Psoriasis,temporary,false
swelling,flaking,burning,Acne,chronic,true
blistering,scaling,soreness,Dermatitis,chronic,true
itching,flaking,pain,Rosacea,chronic,false
redness,cracking,tenderness,Dermatitis,chronic,false
redness,flaking,soreness,Eczema,temporary,false
redness,dryness,burning,Acne,temporary,false
redness,scaling,burning,Rosacea,temporary,true
blistering,dryness,soreness,Rosacea,chronic,false
blistering,dryness,pain,Psoriasis,chronic,true
rash,dryness,pain,Dermatitis,temporary,false
swelling,cracking,pain,Dermatitis,temporary,false
rash,flaking,burning,Eczema,temporary,true
swelling,dryness,burning,Eczema,temporary,false
redness,dryness,tenderness,Eczema,temporary,true
blistering,cracking,pain,Eczema,temporary,true
rash,flaking,tenderness,Rosacea,chronic,true
rash,cracking,pain,Rosacea,temporary,false
itching,scaling,pain,Acne,chronic,true
swelling,flaking,pain,Dermatitis,chronic,false
itching,cracking,burning,Acne,temporary,true
rash,cracking,tenderness,Acne,temporary,true
redness,dryness,burning,Psoriasis,temporary,false
redness,dryness,tenderness,Acne,chronic,false
itching,scaling,burning,Rosacea,chronic,true
rash,dryness,burning,Dermatitis,temporary,true
itching,scaling,tenderness,Rosacea,chronic,true
rash,dryness,soreness,Eczema,temporary,false
swelling,scaling,tenderness,Dermatitis,chronic,false
blistering,flaking,tenderness,Rosacea,temporary,false
rash,flaking,tenderness,Dermatitis,chronic,false
itching,scaling,burning,Dermatitis,temporary,true
redness,cracking,soreness,Psoriasis,chronic,false
blistering,flaking,tenderness,Psoriasis,temporary,true
rash,cracking,pain,Eczema,temporary,false
swelling,cracking,tenderness,Acne,chronic,true
swelling,cracking,soreness,Acne,chronic,false
rash,flaking,soreness,Dermatitis,chronic,true
redness,scaling,soreness,Eczema,chronic,true
itching,scaling,pain,Acne,temporary,true
redness,cracking,burning,Dermatitis,chronic,true
blistering,cracking,pain,Dermatitis,chronic,true
itching,cracking,tenderness,Dermatitis,temporary,true
swelling,scaling,burning,Psoriasis,temporary,false
rash,scaling,burning,Eczema,chronic,true
redness,scaling,tenderness,Dermatitis,temporary,false
redness,dryness,tenderness,Dermatitis,chronic,true
swelling,flaking,soreness,Dermatitis,chronic,true
swelling,cracking,pain,Dermatitis,temporary,true
rash,flaking,burning,Dermatitis,temporary,false
redness,cracking,burning,Psoriasis,temporary,false
blistering,dryness,pain,Eczema,chronic,false
redness,scaling,tenderness,Eczema,temporary,true
blistering,flaking,soreness,Dermatitis,chronic,false
redness,flaking,tenderness,Dermatitis,chronic,false
swelling,flaking,tenderness,Rosacea,chronic,false
redness,cracking,tenderness,Rosacea,chronic,false
redness,scaling,pain,Acne,temporary,false
rash,cracking,burning,Psoriasis,temporary,false
swelling,scaling,tenderness,Dermatitis,temporary,true
redness,scaling,tenderness,Dermatitis,temporary,true
swelling,scaling,burning,Dermatitis,temporary,true
swelling,cracking,tenderness,Acne,chronic,false
swelling,scaling,pain,Eczema,temporary,false
blistering,cracking,soreness,Rosacea,chronic,true
rash,cracking,soreness,Psoriasis,chronic,false
blistering,scaling,tenderness,Acne,temporary,false
rash,flaking,pain,Acne,temporary,true
blistering,cracking,tenderness,Eczema,temporary,false
blistering,scaling,soreness,Dermatitis,chronic,true
redness,dryness,pain,Eczema,chronic,true
swelling,cracking,burning,Dermatitis,chronic,false
blistering,scaling,pain,Psoriasis,chronic,true
blistering,dryness,burning,Psoriasis,chronic,false
blistering,scaling,soreness,Eczema,temporary,false
blistering,cracking,burning,Psoriasis,chronic,true
swelling,cracking,burning,Eczema,temporary,false
rash,flaking,tenderness,Eczema,chronic,false
redness,flaking,burning,Rosacea,chronic,true
redness,flaking,soreness,Rosacea,temporary,true
rash,dryness,soreness,Rosacea,temporary,false
blistering,cracking,soreness,Eczema,temporary,false
blistering,flaking,pain,Dermatitis,chronic,false
rash,cracking,pain,Acne,chronic,false
redness,dryness,soreness,Acne,temporary,false
blistering,scaling,pain,Acne,temporary,false
swelling,scaling,tenderness,Dermatitis,chronic,true
blistering,scaling,burning,Acne,temporary,true
itching,flaking,pain,Dermatitis,temporary,false
redness,dryness,burning,Rosacea,temporary,false
swelling,dryness,pain,Psoriasis,chronic,false
rash,scaling,tenderness,Acne,chronic,true
redness,cracking,pain,Dermatitis,chronic,true
rash,flaking,soreness,Rosacea,chronic,false
redness,scaling,burning,Eczema,chronic,false
blistering,cracking,soreness,Eczema,temporary,false
redness,cracking,tenderness,Dermatitis,temporary,false
blistering,scaling,soreness,Psoriasis,temporary,true
itching,scaling,pain,Rosacea,chronic,true
itching,flaking,soreness,Dermatitis,chronic,false
redness,cracking,soreness,Rosacea,temporary,false
rash,cracking,soreness,Acne,chronic,false
itching,dryness,pain,Eczema,temporary,false
blistering,scaling,soreness,Dermatitis,temporary,false
blistering,scaling,tenderness,Psoriasis,temporary,true
redness,dryness,soreness,Acne,chronic,false
rash,scaling,pain,Acne,chronic,false
itching,cracking,tenderness,Dermatitis,chronic,true
swelling,dryness,tenderness,Eczema,chronic,false
itching,cracking,pain,Psoriasis,chronic,true
swelling,cracking,pain,Dermatitis,temporary,true
rash,flaking,soreness,Psoriasis,temporary,true
itching,dryness,pain,Psoriasis,temporary,true
redness,dryness,soreness,Rosacea,temporary,true
swelling,scaling,pain,Psoriasis,chronic,false
redness,dryness,tenderness,Psoriasis,temporary,true
swelling,cracking,soreness,Rosacea,chronic,false
redness,dryness,burning,Dermatitis,temporary,true
redness,dryness,pain,Acne,chronic,true
itching,cracking,tenderness,Dermatitis,temporary,false
rash,cracking,soreness,Dermatitis,chronic,false
swelling,scaling,tenderness,Acne,chronic,true
itching,flaking,tenderness,Psoriasis,temporary,true
redness,dryness,burning,Eczema,chronic,true
itching,flaking,pain,Eczema,chronic,false
rash,cracking,soreness,Rosacea,temporary,false
blistering,cracking,tenderness,Eczema,chronic,false
blistering,dryness,tenderness,Rosacea,chronic,true
itching,scaling,tenderness,Rosacea,chronic,false
rash,scaling,tenderness,Rosacea,chronic,false
redness,scaling,burning,Rosacea,chronic,false
itching,scaling,soreness,Eczema,temporary,false
itching,cracking,tenderness,Eczema,temporary,true
rash,dryness,tenderness,Eczema,chronic,true
rash,flaking,soreness,Eczema,chronic,false
blistering,scaling,burning,Psoriasis,chronic,false
blistering,scaling,soreness,Rosacea,temporary,false
rash,scaling,tenderness,Acne,temporary,false
swelling,scaling,burning,Acne,temporary,true
blistering,scaling,burning,Rosacea,chronic,true
itching,scaling,pain,Eczema,temporary,true
rash,cracking,tenderness,Rosacea,chronic,false
itching,dryness,tenderness,Rosacea,chronic,true
swelling,flaking,pain,Eczema,chronic,true
swelling,dryness,pain,Psoriasis,temporary,true
itching,flaking,tenderness,Psoriasis,chronic,true
rash,scaling,pain,Rosacea,temporary,true
blistering,scaling,tenderness,Dermatitis,temporary,false
rash,flaking,pain,Eczema,temporary,true
redness,dryness,pain,Dermatitis,chronic,true
itching,cracking,burning,Acne,temporary,false
itching,scaling,tenderness,Eczema,chronic,true
rash,flaking,pain,Eczema,chronic,true
itching,dryness,burning,Dermatitis,chronic,true
blistering,dryness,soreness,Eczema,chronic,true
redness,flaking,burning,Eczema,temporary,false
itching,flaking,pain,Dermatitis,temporary,true
blistering,scaling,soreness,Psoriasis,temporary,true
swelling,dryness,tenderness,Acne,chronic,false
redness,cracking,soreness,Rosacea,chronic,true
swelling,cracking,soreness,Acne,chronic,false
rash,scaling,burning,Acne,temporary,true
rash,dryness,pain,Rosacea,chronic,false
swelling,flaking,soreness,Psoriasis,chronic,false
rash,scaling,pain,Dermatitis,chronic,true
swelling,dryness,pain,Psoriasis,chronic,true
itching,flaking,burning,Dermatitis,chronic,false
swelling,flaking,soreness,Eczema,chronic,false
blistering,scaling,burning,Eczema,chronic,true
blistering,scaling,burning,Dermatitis,temporary,false
itching,cracking,soreness,Dermatitis,chronic,true
redness,dryness,burning,Dermatitis,chronic,false
rash,scaling,tenderness,Eczema,temporary,true
swelling,cracking,soreness,Dermatitis,temporary,false
blistering,cracking,burning,Acne,temporary,true
swelling,flaking,burning,Psoriasis,chronic,true
swelling,scaling,tenderness,Dermatitis,temporary,true
redness,flaking,soreness,Dermatitis,chronic,false
rash,dryness,soreness,Dermatitis,temporary,false
blistering,scaling,burning,Psoriasis,chronic,false
blistering,scaling,tenderness,Dermatitis,chronic,false
rash,dryness,burning,Dermatitis,temporary,true
swelling,flaking,pain,Acne,temporary,false
blistering,cracking,pain,Acne,temporary,true
itching,dryness,burning,Eczema,temporary,false
swelling,dryness,tenderness,Rosacea,temporary,true
rash,scaling,tenderness,Psoriasis,temporary,true
itching,cracking,tenderness,Eczema,temporary,false
swelling,cracking,burning,Eczema,chronic,true
blistering,flaking,burning,Eczema,temporary,false
redness,cracking,burning,Psoriasis,temporary,true
rash,flaking,soreness,Eczema,chronic,true
rash,scaling,pain,Psoriasis,temporary,false
blistering,cracking,pain,Dermatitis,temporary,true
swelling,flaking,soreness,Dermatitis,chronic,true
redness,cracking,soreness,Rosacea,chronic,false
rash,cracking,pain,Psoriasis,chronic,true
redness,flaking,burning,Rosacea,temporary,false
itching,scaling,pain,Dermatitis,chronic,false
rash,cracking,pain,Acne,chronic,true
itching,scaling,tenderness,Dermatitis,chronic,false
redness,dryness,soreness,Dermatitis,chronic,false
itching,scaling,burning,Psoriasis,chronic,false
redness,cracking,tenderness,Psoriasis,chronic,false
blistering,dryness,pain,Dermatitis,chronic,false
redness,cracking,burning,Dermatitis,temporary,true
blistering,scaling,tenderness,Dermatitis,temporary,true
redness,dryness,soreness,Rosacea,chronic,true
swelling,cracking,tenderness,Dermatitis,chronic,true
swelling,cracking,soreness,Acne,temporary,false
itching,cracking,burning,Rosacea,temporary,true
itching,flaking,soreness,Acne,chronic,true
redness,flaking,tenderness,Dermatitis,temporary,true
rash,scaling,pain,Dermatitis,chronic,false
blistering,cracking,tenderness,Eczema,chronic,false
blistering,flaking,tenderness,Dermatitis,temporary,false
rash,flaking,pain,Dermatitis,temporary,false
swelling,cracking,tenderness,Rosacea,chronic,false
rash,cracking,burning,Psoriasis,temporary,true
itching,flaking,burning,Dermatitis,temporary,true
redness,cracking,soreness,Psoriasis,temporary,false
blistering,dryness,soreness,Eczema,chronic,false
swelling,dryness,soreness,Dermatitis,temporary,true
swelling,flaking,soreness,Rosacea,chronic,true
blistering,dryness,soreness,Psoriasis,chronic,false
swelling,scaling,soreness,Acne,chronic,false
itching,cracking,soreness,Eczema,temporary,false
blistering,flaking,burning,Eczema,chronic,true
swelling,flaking,tenderness,Psoriasis,temporary,true
itching,dryness,pain,Acne,chronic,false
rash,scaling,burning,Psoriasis,temporary,false
redness,scaling,soreness,Dermatitis,chronic,true
blistering,dryness,tenderness,Eczema,temporary,false
rash,flaking,soreness,Psoriasis,chronic,false
itching,scaling,pain,Rosacea,temporary,true
itching,scaling,soreness,Psoriasis,chronic,true
swelling,dryness,tenderness,Dermatitis,temporary,true
rash,dryness,tenderness,Eczema,temporary,true
swelling,dryness,burning,Dermatitis,chronic,false
blistering,flaking,pain,Acne,temporary,false
itching,dryness,tenderness,Rosacea,temporary,true
redness,scaling,soreness,Eczema,temporary,false
blistering,scaling,soreness,Dermatitis,chronic,true
rash,dryness,tenderness,Acne,chronic,true
rash,dryness,burning,Rosacea,temporary,true
itching,dryness,soreness,Acne,chronic,false
blistering,cracking,tenderness,Rosacea,chronic,false
itching,flaking,burning,Rosacea,temporary,true
swelling,flaking,burning,Psoriasis,temporary,false
blistering,dryness,burning,Psoriasis,temporary,false
swelling,cracking,soreness,Acne,chronic,true
swelling,scaling,soreness,Eczema,chronic,false
rash,cracking,burning,Eczema,temporary,false
itching,dryness,pain,Eczema,chronic,false
itching,dryness,soreness,Acne,chronic,false
itching,scaling,tenderness,Dermatitis,chronic,true
redness,cracking,soreness,Eczema,temporary,true
blistering,scaling,soreness,Rosacea,temporary,true
itching,scaling,tenderness,Acne,chronic,false
blistering,dryness,pain,Psoriasis,chronic,false
rash,scaling,soreness,Rosacea,chronic,true
swelling,cracking,burning,Dermatitis,chronic,false
redness,cracking,pain,Acne,temporary,true
blistering,flaking,pain,Acne,chronic,false
