fx1,fx2,fx3,fx4,fx5,y
288,265,197,161,506,"""هاجر"""
358,297,483,154,494,"""احمد"""
301,182,122,36,339,"""يوستينا"""
254,261,471,123,304,"""هنا"""
414,455,379,277,474,"""رنا"""
400,449,426,277,481,"""شجره"""
336,311,253,50,240,"""صابون"""
293,239,188,17,455,"""تمر"""
275,281,394,209,482,"""طياره"""
368,324,393,253,465,"""يحلق"""
208,178,443,222,409,"""نكته"""
300,217,435,242,485,"""غبي"""
292,297,209,48,391,"""طفل"""
357,259,208,46,422,"""يلعب"""
399,448,429,213,359,"""كابوريا"""
321,240,179,213,480,"""توت"""
400,253,160,18,378,"""فلفل"""
384,275,201,66,354,"""ناموس"""
440,439,415,277,530,"""هون"""
243,197,187,30,486,"""ورده"""
421,295,235,65,486,"""ياسر"""
450,349,288,180,479,"""قلم"""
388,352,201,272,395,"""تفاح"""
327,253,434,258,386,"""تونه"""
272,490,438,258,416,"""ماما"""
368,351,365,105,365,"""بابا"""
394,434,417,267,400,"""نحن"""
406,434,414,240,499,"""ملك"""
308,186,178,155,485,"""هاجر"""
303,251,283,384,446,"""احمد"""
232,264,137,113,369,"""يوستينا"""
323,287,382,327,399,"""هنا"""
357,432,451,274,369,"""رنا"""
368,431,425,232,394,"""شجره"""
312,260,170,44,331,"""صابون"""
383,303,227,39,493,"""تمر"""
395,348,420,283,496,"""طياره"""
350,272,390,299,469,"""يحلق"""
238,233,467,217,389,"""نكته"""
400,299,465,259,510,"""غبي"""
320,239,190,64,304,"""طفل"""
319,238,204,34,343,"""يلعب"""
406,448,432,208,412,"""كابوريا"""
379,235,173,333,494,"""توت"""
338,370,346,347,319,"""فلفل"""
382,288,231,110,269,"""ناموس"""
412,400,400,307,518,"""هون"""
320,282,245,48,493,"""ورده"""
368,218,261,69,480,"""ياسر"""
387,240,208,39,509,"""قلم"""
318,224,205,370,410,"""تفاح"""
311,244,448,348,414,"""تونه"""
254,466,477,251,403,"""ماما"""
385,368,306,113,346,"""بابا"""
373,468,420,233,406,"""نحن"""
413,466,416,219,493,"""ملك"""
301,167,167,287,494,"""هاجر"""
338,264,339,240,494,"""احمد"""
307,237,133,69,366,"""يوستينا"""
329,239,214,347,445,"""هنا"""
309,400,375,230,291,"""رنا"""
368,481,474,321,496,"""شجره"""
358,218,225,57,256,"""صابون"""
366,183,178,42,504,"""تمر"""
349,259,345,368,486,"""طياره"""
372,278,344,351,461,"""يحلق"""
319,260,447,183,294,"""نكته"""
379,268,448,249,504,"""غبي"""
372,311,234,16,299,"""طفل"""
341,183,148,35,272,"""يلعب"""
349,475,458,261,415,"""كابوريا"""
341,206,175,361,466,"""توت"""
400,224,167,268,400,"""فلفل"""
379,201,181,91,489,"""ناموس"""
418,399,378,143,536,"""هون"""
331,252,263,48,494,"""ورده"""
423,52,192,18,494,"""ياسر"""
371,199,134,314,387,"""بحبك"""
291,192,144,64,353,"""نسر"""
403,451,438,42,426,"""بخير """
267,176,190,43,351,"""يؤلم"""
270,137,162,15,347,"""مؤلم"""
304,220,208,169,329,"""انا"""
400,99,425,269,493,"""احبك"""
392,209,237,195,389,"""رهيب"""
397,434,454,236,500,"""سعيده"""
385,259,460,263,496,"""الديك"""
292,221,218,64,459,"""دقن"""
368,439,434,233,361,"""اريد"""
249,168,156,21,487,"""قلم"""
263,182,177,240,341,"""تفاح"""
315,209,461,132,349,"""تونه"""
302,479,451,112,349,"""ماما"""
363,317,315,90,257,"""بابا"""
435,374,357,87,283,"""نحن"""
412,347,353,148,309,"""ملك"""
254,151,151,194,458,"""هاجر"""
261,171,239,357,485,"""احمد"""
277,167,202,85,306,"""يوستينا"""
314,228,307,188,351,"""هنا"""
450,493,460,137,307,"""رنا"""
452,482,238,138,307,"""شجره"""
287,193,240,32,210,"""صابون"""
283,173,146,11,481,"""تمر"""
407,227,373,333,496,"""طياره"""
308,240,390,284,509,"""يحلق"""
240,225,452,112,336,"""نكته"""
240,176,448,271,410,"""غبي"""
273,240,183,18,446,"""طفل"""
246,188,205,14,314,"""يلعب"""
448,480,458,111,336,"""كابوريا"""
246,157,157,219,455,"""توت"""
464,181,178,111,263,"""فلفل"""
272,193,176,55,460,"""ناموس"""
364,341,346,144,323,"""هون"""
303,229,225,50,389,"""ورده"""
465,199,176,49,477,"""ياسر"""
453,208,190,304,485,"""بحبك"""
255,215,207,57,240,"""نسر"""
435,390,426,29,302,"""بخير """
271,176,166,64,320,"""يؤلم"""
242,189,150,19,240,"""مؤلم"""
242,179,205,85,306,"""انا"""
464,192,373,314,484,"""احبك"""
459,254,167,234,325,"""رهيب"""
459,496,460,275,479,"""سعيده"""
353,214,448,269,470,"""الديك"""
270,176,219,48,349,"""دقن"""
427,400,370,79,465,"""اريد"""
282,172,149,26,493,"""قلم"""
288,192,182,181,344,"""تفاح"""
287,196,445,239,384,"""تونه"""
341,435,455,289,439,"""ماما"""
436,359,328,123,270,"""بابا"""
432,406,397,149,338,"""نحن"""
430,438,417,170,320,"""ملك"""
257,175,173,207,479,"""هاجر"""
271,227,359,238,479,"""احمد"""
333,251,262,112,323,"""يوستينا"""
336,302,373,240,383,"""هنا"""
401,450,451,229,354,"""رنا"""
399,464,450,216,429,"""شجره"""
323,202,241,46,399,"""صابون"""
274,144,144,11,479,"""تمر"""
308,242,421,230,507,"""طياره"""
335,225,413,317,478,"""يحلق"""
288,154,459,241,381,"""نكته"""
321,240,455,258,438,"""غبي"""
308,206,210,26,485,"""طفل"""
327,197,266,82,341,"""يلعب"""
400,445,421,193,339,"""كابوريا"""
289,157,141,230,480,"""توت"""
390,318,271,52,275,"""فلفل"""
264,171,172,157,471,"""ناموس"""
400,368,383,234,478,"""هون"""
304,222,225,29,395,"""ورده"""
375,247,219,79,484,"""ياسر"""
379,289,201,286,486,"""بحبك"""
266,199,193,16,229,"""نسر"""
384,436,439,74,432,"""بخير """
278,207,186,80,453,"""يؤلم"""
272,187,201,24,304,"""مؤلم"""
331,212,208,142,317,"""انا"""
332,162,445,187,412,"""احبك"""
307,170,180,142,238,"""رهيب"""
389,389,337,194,484,"""سعيده"""
337,302,461,270,464,"""الديك"""
301,199,384,110,470,"""دقن"""
402,339,291,26,474,"""اريد"""
259,164,131,15,464,"""قلم"""
272,197,133,217,287,"""تفاح"""
320,230,460,208,335,"""تونه"""
336,485,445,197,325,"""ماما"""
433,457,444,224,269,"""بابا"""
421,431,403,176,321,"""نحن"""
379,370,415,206,353,"""ملك"""
266,155,147,196,446,"""هاجر"""
288,181,205,260,438,"""احمد"""
305,233,208,69,333,"""يوستينا"""
278,208,221,300,353,"""هنا"""
410,437,431,203,219,"""رنا"""
418,434,432,174,209,"""شجره"""
207,177,160,45,209,"""صابون"""
262,144,132,16,478,"""تمر"""
308,209,323,207,376,"""طياره"""
306,256,362,240,463,"""يحلق"""
217,188,433,204,284,"""نكته"""
318,216,340,170,472,"""غبي"""
292,253,165,21,438,"""طفل"""
206,180,157,77,442,"""يلعب"""
379,429,401,213,281,"""كابوريا"""
278,217,173,239,466,"""توت"""
399,274,177,28,231,"""فلفل"""
289,188,135,37,277,"""ناموس"""
417,405,384,145,471,"""هون"""
272,233,217,38,480,"""ورده"""
424,231,176,35,498,"""ياسر"""
431,134,132,251,473,"""بحبك"""
288,238,204,24,333,"""نسر"""
411,407,428,61,231,"""بخير """
295,174,145,16,270,"""يؤلم"""
295,175,156,15,269,"""مؤلم"""
316,259,229,221,379,"""انا"""
397,134,379,348,493,"""احبك"""
427,194,135,286,240,"""رهيب"""
419,451,432,255,482,"""سعيده"""
340,238,449,198,476,"""الديك"""
329,203,449,236,475,"""دقن"""
402,426,425,226,284,"""اريد"""
406,144,148,252,468,"""بحبك"""
337,222,193,29,263,"""نسر"""
416,403,400,16,360,"""بخير """
357,169,153,48,338,"""يؤلم"""
313,176,198,16,346,"""مؤلم"""
322,233,240,242,359,"""انا"""
413,156,302,155,462,"""احبك"""
352,160,159,215,318,"""رهيب"""
380,433,435,233,509,"""سعيده"""
407,205,448,306,493,"""الديك"""
364,203,396,214,501,"""دقن"""
383,440,448,235,385,"""اريد"""
256,151,147,22,496,"""قلم"""
240,176,164,154,295,"""تفاح"""
267,218,426,156,352,"""تونه"""
210,459,439,173,400,"""ماما"""
391,310,281,85,348,"""بابا"""
404,336,302,66,326,"""نحن"""
443,454,438,254,465,"""ملك"""
256,176,157,209,477,"""هاجر"""
246,192,246,318,485,"""احمد"""
211,178,141,48,313,"""يوستينا"""
318,203,233,131,351,"""هنا"""
399,450,442,166,283,"""رنا"""
411,455,432,173,286,"""شجره"""
320,151,182,67,242,"""صابون"""
235,144,147,18,461,"""تمر"""
259,159,402,240,530,"""طياره"""
285,201,418,267,480,"""يحلق"""
207,161,432,119,400,"""نكته"""
191,176,437,289,486,"""غبي"""
266,186,144,31,267,"""طفل"""
262,203,160,15,367,"""يلعب"""
400,455,413,144,375,"""كابوريا"""
208,128,104,129,377,"""توت"""
433,234,193,87,262,"""فلفل"""
339,193,158,29,354,"""ناموس"""
445,347,325,138,466,"""هون"""
224,272,253,50,482,"""ورده"""
346,144,113,14,482,"""ياسر"""
458,239,190,408,465,"""بحبك"""
298,219,229,53,283,"""نسر"""
412,400,390,79,383,"""بخير """
245,146,162,136,345,"""يؤلم"""
251,160,157,62,320,"""مؤلم"""
284,204,176,315,321,"""انا"""
455,240,398,343,460,"""احبك"""
429,254,148,309,343,"""رهيب"""
355,336,325,187,400,"""سعيده"""
368,188,378,290,486,"""الديك"""
354,238,326,152,468,"""دقن"""
418,407,407,279,475,"""اريد"""
428,194,149,263,485,"""بحبك"""
297,157,181,26,242,"""نسر"""
426,442,415,16,240,"""بخير """
235,133,146,11,359,"""يؤلم"""
240,176,180,16,309,"""مؤلم"""
213,118,115,123,311,"""انا"""
422,126,384,381,483,"""احبك"""
411,175,171,138,271,"""رهيب"""
446,425,422,248,451,"""سعيده"""
301,164,410,240,503,"""الديك"""
329,204,279,21,438,"""دقن"""
419,411,423,190,185,"""اريد"""
